id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,feature drift,59,43,27,78,338,ship,baseline,monotonic-signal
g002,window width,95,30,18,58,407,ship,edge,drag-penalty
g003,metric stability,117,61,15,53,534,ship,recovery,confidence-floor
g004,explainability,87,44,36,97,435,ship,negative,lane-boundary
g005,feature drift,32,38,27,81,253,ship,baseline,monotonic-signal
g006,window width,96,38,45,77,383,ship,edge,drag-penalty
g007,metric stability,87,75,14,80,529,ship,recovery,confidence-floor
g008,explainability,42,26,42,86,224,ship,negative,lane-boundary
g009,feature drift,67,39,36,93,357,ship,baseline,monotonic-signal
g010,window width,83,48,35,58,356,ship,edge,drag-penalty
g011,metric stability,51,55,15,45,308,ship,recovery,confidence-floor
g012,explainability,82,61,27,43,373,ship,negative,lane-boundary
g013,feature drift,57,32,17,47,278,ship,baseline,monotonic-signal
g014,window width,48,20,31,96,283,ship,edge,drag-penalty
g015,metric stability,91,16,19,39,326,ship,recovery,confidence-floor
g016,explainability,72,17,35,58,261,ship,negative,lane-boundary
g017,feature drift,66,55,24,29,294,ship,baseline,monotonic-signal
g018,window width,111,41,20,62,479,ship,edge,drag-penalty
g019,metric stability,93,37,19,40,376,ship,recovery,confidence-floor
g020,explainability,87,37,20,77,429,ship,negative,lane-boundary
g021,feature drift,44,75,43,57,267,ship,baseline,monotonic-signal
g022,window width,70,26,35,52,261,ship,edge,drag-penalty
g023,metric stability,42,74,33,96,367,ship,recovery,confidence-floor
g024,explainability,76,31,12,80,414,ship,negative,lane-boundary
g025,feature drift,52,63,45,76,299,ship,baseline,monotonic-signal
g026,window width,88,65,42,79,426,ship,edge,drag-penalty
g027,metric stability,109,69,21,85,572,ship,recovery,confidence-floor
g028,explainability,79,73,12,92,531,ship,negative,lane-boundary
g029,feature drift,112,8,30,57,376,ship,baseline,monotonic-signal
g030,window width,88,48,41,44,325,ship,edge,drag-penalty
g031,metric stability,79,35,27,42,310,ship,recovery,confidence-floor
g032,explainability,100,66,21,46,461,ship,negative,lane-boundary
g033,feature drift,48,49,20,95,372,ship,baseline,monotonic-signal
g034,window width,70,43,42,38,246,ship,edge,drag-penalty
g035,metric stability,40,43,12,57,284,ship,recovery,confidence-floor
g036,explainability,73,10,44,28,163,watch,negative,lane-boundary
g037,feature drift,49,31,16,61,283,ship,baseline,monotonic-signal
g038,window width,40,44,4,39,274,ship,edge,drag-penalty
g039,metric stability,83,53,20,76,447,ship,recovery,confidence-floor
g040,explainability,108,60,9,56,529,ship,negative,lane-boundary
g041,feature drift,36,66,5,51,327,ship,baseline,monotonic-signal
g042,window width,92,37,4,95,528,ship,edge,drag-penalty
g043,metric stability,35,25,5,79,298,ship,recovery,confidence-floor
g044,explainability,98,21,28,75,402,ship,negative,lane-boundary
g045,feature drift,89,22,20,78,407,ship,baseline,monotonic-signal
g046,window width,44,60,18,84,366,ship,edge,drag-penalty
g047,metric stability,113,46,39,91,496,ship,recovery,confidence-floor
g048,explainability,107,42,30,56,427,ship,negative,lane-boundary
g049,feature drift,64,42,27,43,281,ship,baseline,monotonic-signal
g050,window width,46,10,6,41,222,ship,edge,drag-penalty
g051,metric stability,40,31,39,45,155,watch,recovery,confidence-floor
g052,explainability,85,9,15,94,416,ship,negative,lane-boundary
g053,feature drift,111,36,26,37,401,ship,baseline,monotonic-signal
g054,window width,83,68,12,56,461,ship,edge,drag-penalty
g055,metric stability,117,70,6,27,527,ship,recovery,confidence-floor
g056,explainability,93,74,5,60,532,ship,negative,lane-boundary
g057,feature drift,41,8,27,38,134,watch,baseline,monotonic-signal
g058,window width,62,13,39,75,245,ship,edge,drag-penalty
g059,metric stability,32,53,29,55,225,ship,recovery,confidence-floor
g060,explainability,65,40,43,50,246,ship,negative,lane-boundary
g061,feature drift,41,71,31,94,360,ship,baseline,monotonic-signal
g062,window width,32,54,5,78,345,ship,edge,drag-penalty
g063,metric stability,53,48,36,74,295,ship,recovery,confidence-floor
g064,explainability,89,48,32,77,421,ship,negative,lane-boundary
g065,feature drift,111,15,31,83,436,ship,baseline,monotonic-signal
g066,window width,81,36,32,90,399,ship,edge,drag-penalty
g067,metric stability,114,49,13,55,511,ship,recovery,confidence-floor
g068,explainability,90,58,5,42,455,ship,negative,lane-boundary
g069,feature drift,81,65,45,40,318,ship,baseline,monotonic-signal
g070,window width,36,71,24,44,266,ship,edge,drag-penalty
g071,metric stability,61,42,15,93,408,ship,recovery,confidence-floor
g072,explainability,77,30,12,36,327,ship,negative,lane-boundary
g073,feature drift,45,26,33,55,198,ship,baseline,monotonic-signal
g074,window width,76,27,24,26,262,ship,edge,drag-penalty
g075,metric stability,51,65,42,59,275,ship,recovery,confidence-floor
g076,explainability,42,51,11,37,269,ship,negative,lane-boundary
g077,feature drift,85,47,39,74,380,ship,baseline,monotonic-signal
g078,window width,66,47,33,54,301,ship,edge,drag-penalty
g079,metric stability,60,15,32,49,212,ship,recovery,confidence-floor
g080,explainability,105,36,12,93,537,ship,negative,lane-boundary
g081,feature drift,87,14,24,77,371,ship,baseline,monotonic-signal
g082,window width,81,41,14,73,429,ship,edge,drag-penalty
g083,metric stability,38,73,28,76,328,ship,recovery,confidence-floor
g084,explainability,64,75,16,82,458,ship,negative,lane-boundary
g085,feature drift,36,9,32,89,208,ship,baseline,monotonic-signal
g086,window width,70,13,21,54,281,ship,edge,drag-penalty
g087,metric stability,46,18,17,41,205,ship,recovery,confidence-floor
g088,explainability,82,58,16,39,392,ship,negative,lane-boundary
g089,feature drift,103,45,17,43,434,ship,baseline,monotonic-signal
g090,window width,73,76,40,92,435,ship,edge,drag-penalty
g091,metric stability,106,59,32,35,410,ship,recovery,confidence-floor
g092,explainability,82,53,30,54,370,ship,negative,lane-boundary
g093,feature drift,73,53,9,25,348,ship,baseline,monotonic-signal
g094,window width,94,20,42,58,312,ship,edge,drag-penalty
g095,metric stability,42,41,39,36,163,watch,recovery,confidence-floor
g096,explainability,64,54,18,73,392,ship,negative,lane-boundary
